species_name,common_name,flashcard?,name?
Manataria hercyna,White-spotted Satyr,yes,change
Papilio thoas,King Swallowtail,yes,
Siproeta stelenes,Malachite,yes,
Dryas iulia,Julia Heliconian,yes,
Catopsilia florella,African Emigrant,yes,maybe
Belenois aurota,African Caper White,yes,maybe
Danaus chrysippus,African Monarch,yes,maybe
Bicyclus anynana,Squinting Bush-brown,yes,
Papilio demodocus,Citrus Swallowtail,yes,change
Junonia hierta,Yellow Pansy,yes,
Cacyreus marshalli,Common Geranium Bronze,yes,
Melanitis leda,Common Evening Brown,yes,change
Danaus plexippus,Monarch,yes,
Euptoieta claudia,Variegated Fritillary,yes,
Hesperia dacotae,Dakota Skipper,yes,
Hesperia ottoe,Ottoe Skipper,yes,
Hypaurotis crysalus,Colorado Hairstreak,yes,
Junonia coenia,Common Buckeye,yes,
Panacea regina,Queen Flasher,yes,
Papilio polyxenes,Black Swallowtail,yes,change
Phoebis sennae,Cloudless Giant Sulphur,yes,
Speyeria cybele,Great Spangled Fritillary,yes,
Speyeria idalia,Regal Fritillary,yes,
Vanessa atalanta,Red Admiral,yes,
Vanessa cardui,Painted Lady,yes,
Phyciodes tharos,Pearl Crescent,yes,
Speyeria aphrodite,Aphrodite Friitllary,yes,
Speyeria callippe,Callippe Fritillary,yes,
Calycopis cecrops,Red-banded Hairstreak,yes,
Pholisora catullus,Common Sootywing,yes,
Satyrium calanus,Banded Hairstreak,yes,
Callophrys gryneus,Juniper Hairstreak,yes,
Lycaena heteronea,Blue Copper,yes,
Erynnis baptisiae,Wild Indigo Duskywing,yes,
Polyura jalysus,,yes,
Parthenos aspila,,yes,
Parthenos sylvia,Clipper,yes,
Lycaena alciphron,Purple-shot Copper,yes,
Eucyclodes gavissima,Oriental Orange-banded Green Geometer Moth,yes,
Hypolimnas bolina,Great Eggfly or Common Eggfly,yes,
Apatura ilia,Lesser Purple Emperor,yes,
Eogenes alcides,Alcides skipper,yes,
Heliconius erato,Red Postman,yes,change
Bebearia sophus,Sophus Forester,yes,
Dione moneta,Mexican Silverspot,yes,
Chlosyne hoffmanni,Hoffmann's Checkerspot,yes,
Euphaedra janetta,Janetta Themis Forester,yes,
Marpesia zerynthia,Waiter Daggerwing,yes,
Marpesia marcella,Pansy Daggerwing,yes,
Euphaedra neophron,Gold-banded Forester,yes,
Euthalia formosana,Formosan Duke,yes,
Papilio maackii,Alpine Black Swallowtail,yes,
Lexias pardalis,Common Archduke,yes,
Alcides metaurus,Zodiac Moth,yes,
Papilio palinurus,Emerald Peacock Swallowtail,yes,change
Phocides pigmalion,Mangrove Skipper,yes,maybe
Erebia cassioides,Common Brassy Ringlet,yes,
Nymphalis antiopa,Mourning Cloak,yes,change
Catacroptera cloanthe,Pirate,yes,
Fabriciana adippe,High Brown Fritillary,yes,
Papilio troilus,Spicebush Swallowtail,yes,
Euphydryas phaeton,Baltimore Checkerspot,yes,
Graellsia isabellae,Spanish Moon Moth,yes,
Odina hieroglyphica,Hieroglyphic Flat,yes,
Eurybia molochina,Molochina Underleaf,yes,
Cymothoe hobarti,Hobart's Red Glidder,yes,
Taenaris urania,,yes,
Thisbe irenea,Irenea Metalmark,yes,
Adelpha eulalia,Arizona Sister,yes,
Prepona deiphile,Orange-spotted Prepona,yes,
Danaus affinis,Swamp Tiger,yes,
Trogonoptera brookiana,Raja Brooke's Birdwing,yes,
Euphaedra themis,Themis Forester,yes,
Junonia rhadama,Royal Blue Pansy,yes,
Pachliopta aristolochia,Common Rose Swallowtail,yes,
Morpho cisseis,Cisseis Morpho,yes,change
Zerynthia polyxena,Southern Festoon,yes,
Speiredonia spectans,Cloak Moth,yes,change
Marpesia petreus,Ruddy Daggerwing,yes,change
Hamadryas laodamia,Starry Night Cracker,yes,
Aglais urticae,Small Tortoiseshell,yes,
Caria chrysame,,yes,
Melitaea phoebe,Knapweed Fritillary,yes,
Euptoieta hegesia,Mexican Fritillary,yes,
Epiphile orea,,yes,
Bebearia tentyris,Hewitson's Forester,yes,
Callophrys rubi,Green Hairstreak,,
Gonepteryx rhamni,Brimstone,,
Battus belus,Belus Swallowtail,yes,
Symmachia rubina,,,
Cethosia hypsea,Malayan Lacewing,,
Saturnia pavonia,Small Emperor Moth,,
Euthalia patala,Grand Duchess,,
Chlosyne californica,California Patch,,
Ascalapha odorata,Black Witch,,
Stibochiona nicea,Popinjay,,
Ornithoptera goliath,Goliath Birdwing,,
Mechanitis polymnia,Disturbed Tigerwing,,
Morpho aurora,Aurora Morpho,yes,
Myscelia cyananthe,Blackened Bluewing,,
Creonpyge creon,Creon Skipper,,
Myscelia ethusa,Mexican Bluewing,,
Junonia orithya,Blue Pansy,,
Parnassius smintheus,Rocky Mountain Parnassian,yes,change
Lycaena phlaeas,American Copper,,
Junonia orithya,Blue Pansy,,
Dione vanillae,Galapagos Silver Fritillary,,
Pieris rapae,Cabbage Butterfly,,
Noctua pronuba,European Yellow Underwing Moth,,
Heteronympha merope,Common Brown,,
Crasilogia gressitti,,,
Hyphantria cunea,American White Moth,,
Limenitis arthemis,Red-spotted Admiral,,
Strymon melinus,Cotton Square Borer,,
Hylephila phyleus,Fiery Skipper,,
Papilio glaucus,Eastern Tiger Swallowtail,,
Vanessa kershawi,Australian Painted Lady,,
Anticlea vasiliata,Variable Carpet,,
Ectropis crepuscularia,Engrailed,,
Polyommatus icarus,Common Blue,,
Pasiphila rectangulata,Green Pug,,
Geitoneura klugii,Klug's Xenica,,
Apamea cogitata,Thoughtful Apamea,,
Maniola jurtina,Meadow Brown,,
Pararge aegeria,Speckled Wood,,
Campaea perlata,Fringed Looper,,
Dysstroma citrata,Dark Marbled Carpet,,
Lerema accius,Clouded Skipper,,
Anaplectoides prasina,Green Arches,,
Colias eurytheme,Alfalfa Butterfly,,
Danaus gilippus,Queen,,
Hypena scabra,Green Cloverworm,,
Microcrambus elegans,Elegant Grass-veneer,,
Limenitis archippus,Viceroy,,
Zizina otis,Lesser Grass Blue,,
Orgyia leucostigma,White-marked Tussock Moth,,
Scaphidriotis xylogramma,,,
Venusia cambrica,Welsh Wave,,
Paraclemensia acerifoliella,Maple Leafcutter,,
Halysidota tessellaris,Banded Tussock Moth,,
Urbanus proteus,Bean Leafroller,,
Paradromulia ambigua,,,
Anartia jatrophae,White Peacock,,
Dryocampa rubicunda,Rosy Maple Moth,,
Eurema nicippe,Sleepy Orange,,
Addaea subtessellata,,,
Ocybadistes walkeri,Yellow-banded Dart,,
Plutella xylostella,Diamond Backed Moth,,
Hypagyrtis unipunctata,One-Spotted Variant,,
Antheraea polyphemus,Polyphemus Moth,,
Catoria camelaria,,,
Habrosyne scripta,Lettered Habrosyne Moth,,
Lon zabulon,Zabulon Skipper,,
Euphyes vestris,Dun Skipper,,
Anavitrinella pampinaria,Common Gray,,
Malacosoma americana,Eastern Tent Caterpillar,,
Traminda aventiaria,Cross-line Wave Moth,,
Nudaria mollis,,,
Hydrelia inornata,Unadorned Carpet Moth,,
Polygonia c-album,Comma,,
Ochlodes sylvanus,Large Skipper,,
Melanolophia imitata,Western Carpet,,
Orthosia hibisci,Green Fruitworm,,
Sauris malaca,,,
Chlorochlamys chloroleucaria,Blackberry Looper,,
Euphaedra eleus,Eleus Orange Forester,,
Chlosyne lacinia,Bordered Patch,,
Junonia cymodoce,Blue Leaf Pansy,,
Libytheana carinenta,American Snout,,
Udea rubigalis,Celery Leafer Moth,,
Estigmene acrea,Saltmarsh Caterpillar,,
Iridopsis defectaria,Brown-shaded Gray,,
Papilio machaon,Artemisia Swallowtail,,
Thymelicus lineola,Essex Skipper,,
Pleuroprucha insulsaria,Common Tan Wave,,
Pseudothyatira cymatophoroides,Tufted Thyatirid Moth,,
Ascia monuste,Great Southern White,,
Nematocampa resistaria,Horned Spanworm Moth,,
Eurema lisa,Little Yellow,,
Aglais io,Peacock,,
Coesyra hemiphragma,,,
Lophocampa maculata,Spotted Tussock Moth,,
Asterocampa celtis,Hackberry Emperor,,
Cisseps fulvicollis,Yellow-collared scape moth,,
Amphithera heteroleuca,,,
Lymantria dispar,"Asian Gypsy Moth, Gypsy Moth",,
Scopula limboundata,Large Lace Border,,
Xestia c-nigrum,Cutworm Moth,,
Pieris napi,Green-veined White,,
Protoboarmia porcelaria,Porcelain Gray,,
Ctenucha virginica,Virginia Ctenucha Moth,,
Epirrhoe alternata,Common Carpet,,
Ectropis bispinaria,,,
Casbia rectaria,Pomaderris Moth,,
Ecliptopera silaceata,Small Phoenix,,
Eurema hecabe,Common Grass Yellow,,
